Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
tenPercent,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2930.0,326.0,259.0,67.0,0.0,79.4478527607362,20.552147239263803,0.0,0.38337756196713907,0.2672260686297782,0.37450107203665073,74.15522628657732,88.17079053060465,257.1033039148257,1270.3087765443652,-1013.2054726295395,0.7886604414565205,3.8966526887863964,-3.1079922473298756,50.503204073834254,0.15491780390746704,19.643156390773253,0.8995983935742972,224.0,0.5454545454545454,42.0,0.45454545454545453,35.0,0.10040160642570281,25.0,0.8421052631578947,0.8995983935742972,0.8699029126213591,0.38815777938883284,0.8259531633025609,0.9316401120524667,0.7944785276073619,0.4403346794876102,0.5596653205123897,0.20552147239263804,0.7809842858680444,0.7944785276073619,0.7851192973501506,0.3881577793888329,0.8259531633025609,0.8357279722824974,0.6904259088654241,0.7944785276073619,0.043,0.003,0.046875,0.0,46.875,0.0,15026.0,298296.0,35292.0,99.079754601227,87.42331288343559,'Number of leaves: 37\nSize of the tree: 62\n',62.0,37.0,37.0
tenPercent,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2930.0,326.0,255.0,71.0,0.0,78.22085889570552,21.779141104294478,0.0,0.37099842382738196,0.2614657426029566,0.376118978738445,72.55673598136981,88.55170295930928,257.1033039148257,3416.9415830711064,-3159.838279156281,0.7886604414565205,10.481415898991123,-9.692755457534604,59.21008124468723,0.18162601608799764,23.029685088878754,0.8755020080321285,218.0,0.5194805194805194,40.0,0.4805194805194805,37.0,0.12449799196787148,31.0,0.8449612403100775,0.8755020080321285,0.8599605522682445,0.37218334815663096,0.7958326813748501,0.9042975985928652,0.7822085889570553,0.4261871004054462,0.5738128995945538,0.21779141104294478,0.7739030909838611,0.7822085889570553,0.7773826050273952,0.37218334815663096,0.7958326813748501,0.8121597056554215,0.6851526899272258,0.7822085889570553,0.032,0.001,0.03125,0.0,31.25,0.0,15584.0,298296.0,35292.0,96.93251533742331,81.74846625766871,'Number of leaves: 38\nSize of the tree: 65\n',65.0,38.0,38.0
tenPercent,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2930.0,326.0,251.0,75.0,0.0,76.99386503067484,23.006134969325153,0.0,0.33556171531061463,0.27130176332158723,0.39428750513447774,75.28623144522756,92.82921630901096,257.1033039148257,5575.874417261432,-5318.771113346606,0.7886604414565205,17.103909255403167,-16.315248813946646,46.812823723244996,0.14359761878296012,18.207787690956067,0.8674698795180723,216.0,0.5454545454545454,42.0,0.45454545454545453,35.0,0.13253012048192772,33.0,0.8372093023255814,0.8674698795180723,0.8520710059171598,0.3366334590564078,0.7733531528712252,0.8957443984103001,0.7699386503067485,0.4479233162432216,0.5520766837567783,0.23006134969325154,0.7610351816571971,0.7699386503067485,0.764840779958516,0.33663345905640785,0.7733531528712252,0.7991594214390477,0.6674148133034075,0.7699386503067485,0.026,0.002,0.015625,0.0,15.625,0.0,17938.0,298296.0,35292.0,96.93251533742331,82.20858895705521,'Number of leaves: 45\nSize of the tree: 78\n',78.0,45.0,45.0
tenPercent,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2930.0,326.0,251.0,75.0,0.0,76.99386503067484,23.006134969325153,0.0,0.33556171531061463,0.26600920169517267,0.381580250976131,73.81754574755273,89.83747949362184,257.1033039148257,1274.261523218539,-1017.1582193037133,0.7886604414565205,3.9087776785844754,-3.1201172371279546,53.39974912692146,0.16380291143227443,20.769763870717107,0.8674698795180723,216.0,0.5454545454545454,42.0,0.45454545454545453,35.0,0.13253012048192772,33.0,0.8372093023255814,0.8674698795180723,0.8520710059171598,0.3366334590564078,0.8114536066343295,0.9241276447860044,0.7699386503067485,0.4479233162432216,0.5520766837567783,0.23006134969325154,0.7610351816571971,0.7699386503067485,0.764840779958516,0.33663345905640785,0.8114536066343295,0.8206870366537389,0.6674148133034075,0.7699386503067485,0.029,0.0,0.015625,0.0,15.625,0.0,13570.0,298296.0,35292.0,99.38650306748467,85.88957055214723,'Number of leaves: 33\nSize of the tree: 54\n',54.0,33.0,33.0
tenPercent,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2930.0,326.0,262.0,64.0,0.0,80.3680981595092,19.631901840490798,0.0,0.3840703784613569,0.23619668928424647,0.3620843199200473,65.54457441904637,85.247448164748,257.1033039148257,3407.784160458373,-3150.6808565435476,0.7886604414565205,10.453325645577833,-9.664665204121311,80.48791607200636,0.24689544807363914,31.30567162943606,0.9236947791164659,230.0,0.5844155844155844,45.0,0.4155844155844156,32.0,0.07630522088353414,19.0,0.8363636363636363,0.9236947791164659,0.8778625954198472,0.3966896137579146,0.7892348615240181,0.8911179334829049,0.803680981595092,0.4644017868942105,0.5355982131057895,0.19631901840490798,0.7870192360268145,0.803680981595092,0.7886128412869386,0.3966896137579146,0.7892348615240181,0.8170521086694698,0.6889312977099236,0.803680981595092,0.031,0.002,0.015625,0.0,15.625,0.0,12332.0,298296.0,35292.0,96.0122699386503,78.22085889570552,'Number of leaves: 28\nSize of the tree: 47\n',47.0,28.0,28.0
tenPercent,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2930.0,326.0,271.0,55.0,0.0,83.12883435582822,16.87116564417178,0.0,0.47862750799651055,0.24012293943950988,0.35002546506183063,66.63410872314391,82.40836746476342,257.1033039148257,1252.1906980052809,-995.0873940904552,0.7886604414565205,3.8410757607523953,-3.052415319295875,74.23459395615892,0.2277134783931255,28.873450020211205,0.9357429718875502,233.0,0.5064935064935064,39.0,0.4935064935064935,38.0,0.0642570281124498,16.0,0.8566176470588235,0.9357429718875502,0.8944337811900192,0.49042597837358004,0.8339070567986231,0.9191484619032906,0.8312883435582822,0.40203887816423844,0.5979611218357614,0.16871165644171776,0.8204999365117553,0.8312883435582822,0.8202017400046184,0.49042597837358004,0.8339070567986231,0.8515923881900737,0.7372932264728722,0.8312883435582822,0.024,0.0,0.03125,0.0,31.25,0.0,15220.0,298296.0,35292.0,97.85276073619632,82.82208588957056,'Number of leaves: 37\nSize of the tree: 63\n',63.0,37.0,37.0
tenPercent,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2931.0,325.0,254.0,71.0,0.0,78.15384615384616,21.846153846153847,0.0,0.41951145883122426,0.2514150537303957,0.3726802042955813,69.9823082987512,88.04597548852855,255.01718605295088,3410.417998773017,-3155.4008127200664,0.7846682647783104,10.493593842378514,-9.708925577600205,63.36650994842812,0.1949738767643942,24.847937085805235,0.8353413654618473,208.0,0.39473684210526316,30.0,0.6052631578947368,46.0,0.1646586345381526,41.0,0.8739495798319328,0.8353413654618473,0.8542094455852156,0.4212183826745749,0.8105316000845487,0.9140262006262626,0.7815384615384615,0.3409339381818773,0.6590660618181227,0.21846153846153846,0.7932226259203947,0.7815384615384615,0.7864426383759725,0.42121838267457495,0.8105316000845487,0.8212913763484196,0.7093133117496631,0.7815384615384615,0.019,0.0,0.03125,0.0,31.25,0.0,15876.0,298397.0,35191.0,97.23076923076923,80.92307692307692,'Number of leaves: 42\nSize of the tree: 67\n',67.0,42.0,42.0
tenPercent,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2931.0,325.0,257.0,68.0,0.0,79.07692307692308,20.923076923076923,0.0,0.3821983674382198,0.24878622606329015,0.36790424073764455,69.25056441335543,86.91765054529468,255.01718605295088,5543.884565939244,-5288.867379886293,0.7846682647783104,17.058106356736133,-16.273438091957825,68.95955109828981,0.21218323414858403,27.04113874269293,0.8875502008032129,221.0,0.5263157894736842,40.0,0.47368421052631576,36.0,0.11244979919678715,28.0,0.8467432950191571,0.8875502008032129,0.8666666666666667,0.3844902609518241,0.8267543859649122,0.9231595323794367,0.7907692307692308,0.4295348194397021,0.5704651805602979,0.20923076923076922,0.7802740937223696,0.7907692307692308,0.7842637362637364,0.3844902609518241,0.8267543859649122,0.8316207273005685,0.6904761904761905,0.7907692307692308,0.022,0.0,0.03125,0.0,31.25,0.0,15536.0,298397.0,35191.0,96.92307692307692,80.15384615384616,'Number of leaves: 40\nSize of the tree: 65\n',65.0,40.0,40.0
tenPercent,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2931.0,325.0,256.0,69.0,0.0,78.76923076923077,21.23076923076923,0.0,0.404777704047777,0.24732066318173102,0.36540970274536394,68.84261957518173,86.32831408901929,255.01718605295088,1263.8327679666816,-1008.8155819137307,0.7846682647783104,3.888716209128251,-3.104047944349941,67.5586888888546,0.20787288888878339,26.491818035678172,0.8634538152610441,215.0,0.4605263157894737,35.0,0.5394736842105263,41.0,0.13654618473895583,34.0,0.86,0.8634538152610441,0.8617234468937875,0.40479276564488975,0.8220513633481293,0.9236979308489263,0.7876923076923077,0.3847648082207372,0.6152351917792629,0.2123076923076923,0.7867282051282052,0.7876923076923077,0.7872020352472647,0.40479276564488975,0.8220513633481293,0.844020721923478,0.7023849022548407,0.7876923076923077,0.028,0.0,0.015625,0.0,15.625,0.0,14808.0,298397.0,35191.0,98.46153846153847,83.07692307692308,'Number of leaves: 38\nSize of the tree: 61\n',61.0,38.0,38.0
tenPercent,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.019020807E7,2931.0,325.0,263.0,62.0,0.0,80.92307692307692,19.076923076923077,0.0,0.402006172839506,0.24771975521119477,0.3582079006611431,68.95370831482204,84.62688298945483,255.01718605295088,186.99994389800838,68.0172421549425,0.7846682647783104,0.5753844427631027,0.20928382201520768,65.5308786601606,0.20163347280049415,25.696651929393493,0.9236947791164659,230.0,0.5657894736842105,43.0,0.4342105263157895,33.0,0.07630522088353414,19.0,0.8424908424908425,0.9236947791164659,0.8812260536398469,0.4132297786172788,0.8422637920101459,0.934653963319042,0.8092307692307692,0.45132546379851385,0.5486745362014862,0.19076923076923077,0.7938799661876585,0.8092307692307692,0.7957316534040673,0.4132297786172788,0.842263792010146,0.852199246448377,0.6984255268199234,0.8092307692307692,0.027,0.001,0.03125,0.0,31.25,0.0,12866.0,298397.0,35191.0,98.76923076923077,84.61538461538461,'Number of leaves: 30\nSize of the tree: 50\n',50.0,30.0,30.0
