Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
eightyPercent,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01902080649E7,23443.0,2605.0,2091.0,514.0,0.0,80.26871401151631,19.731285988483684,0.0,0.44625079817767366,0.26023305699913535,0.3614257868527635,71.43841887124,84.6822369105895,2069.082257781732,5815.100335320187,-3746.0180775384547,0.794273419493947,2.2322841978196495,-1.4380107783257023,502.32862711592577,0.1928324864168621,24.27784710959116,0.8803634528016153,1744.0,0.4439102564102564,277.0,0.5560897435897436,347.0,0.11963654719838465,237.0,0.8629391390400791,0.8803634528016153,0.8715642178910544,0.4466657277340419,0.82864213230821,0.9216491640111821,0.8026871401151632,0.3662339437238042,0.6337660562761958,0.19731285988483685,0.7985602908737305,0.8026871401151632,0.800406442175564,0.4466657277340419,0.82864213230821,0.8384297598307143,0.7230337645746663,0.8026871401151632,0.195,0.002,0.203125,0.0,203.125,0.0,26049.0,2370112.0,265474.0,98.42610364683301,83.01343570057581,'Number of leaves: 79\nSize of the tree: 124\n',124.0,79.0,79.0
eightyPercent,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01902080649E7,23443.0,2605.0,2125.0,480.0,0.0,81.57389635316699,18.426103646833013,0.0,0.48288012281183523,0.2519766692723548,0.35547373668517274,69.17189942290152,83.28766867353959,2069.082257781732,4701.692029138204,-2632.609771356472,0.794273419493947,1.8048721800914411,-1.010598760597494,573.3966315239659,0.22011387006678151,27.712606851054137,0.8889449772841999,1761.0,0.4166666666666667,260.0,0.5833333333333334,364.0,0.1110550227158001,220.0,0.8713508164275111,0.8889449772841999,0.8800599700149925,0.483329110770973,0.8427828796645052,0.9280455252107336,0.8157389635316699,0.34346065291413663,0.6565393470858634,0.18426103646833014,0.8119299325114068,0.8157389635316699,0.8136091288799042,0.48332911077097307,0.8427828796645053,0.8474796394893722,0.7413544883187545,0.8157389635316699,0.178,0.002,0.171875,0.0,171.875,0.0,27263.0,2370112.0,265474.0,98.42610364683301,81.68905950095969,'Number of leaves: 85\nSize of the tree: 131\n',131.0,85.0,85.0
eightyPercent,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01902080649E7,23443.0,2605.0,2080.0,525.0,0.0,79.84644913627639,20.15355086372361,0.0,0.4197462560613471,0.2606509727223955,0.36925479239210385,71.55314387518612,86.51657670031463,2069.082257781732,5879.302590850214,-3810.220333068482,0.794273419493947,2.256929977293748,-1.4626565577998012,504.59832552453025,0.1937037717944454,24.38754300979369,0.8889449772841999,1761.0,0.48878205128205127,305.0,0.5112179487179487,319.0,0.1110550227158001,220.0,0.8523717328170377,0.8889449772841999,0.8702742772424017,0.4216109108100717,0.8109435470301195,0.9117694686597679,0.7984644913627639,0.3983015653606153,0.6016984346393847,0.20153550863723607,0.7899633493894554,0.7984644913627639,0.7932161407180784,0.4216109108100716,0.8109435470301195,0.8238869613271345,0.7094277663082171,0.7984644913627639,0.203,0.001,0.203125,0.0,203.125,0.0,24325.0,2370112.0,265474.0,97.73512476007677,81.63147792706334,'Number of leaves: 70\nSize of the tree: 114\n',114.0,70.0,70.0
eightyPercent,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01902080649E7,23444.0,2604.0,2115.0,489.0,0.0,81.22119815668202,18.77880184331797,0.0,0.4692288838832413,0.2563942180573482,0.3581341990636023,70.41073648537848,83.94608473107687,2067.020227651112,6860.66744450848,-4793.647216857368,0.7937865697584915,2.63466491724596,-1.8408783474874686,527.9447191892235,0.20274374776851903,25.541342659677845,0.889449772841999,1762.0,0.4333868378812199,270.0,0.5666131621187801,353.0,0.11055022715800102,219.0,0.8671259842519685,0.889449772841999,0.8781460254173935,0.46994947924569924,0.8335410314520854,0.922392693185329,0.8122119815668203,0.3561490466060412,0.6438509533939589,0.18778801843317972,0.807315803005732,0.8122119815668203,0.8093980600301013,0.46994947924569924,0.8335410314520852,0.8424849685927919,0.7344705022484457,0.8122119815668203,0.226,0.001,0.21875,0.0,218.75,0.0,27991.0,2370213.0,265373.0,98.34869431643625,82.14285714285714,'Number of leaves: 87\nSize of the tree: 135\n',135.0,87.0,87.0
eightyPercent,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01902080649E7,23444.0,2604.0,2090.0,514.0,0.0,80.26113671274962,19.738863287250386,0.0,0.431473409411219,0.2590584102151014,0.3641497819682164,71.1423744036876,85.35612776393415,2067.020227651112,4761.815833167946,-2694.7956055168343,0.7937865697584915,1.8286543138125753,-1.0348677440540839,504.169858901461,0.19361361708965477,24.39114296788386,0.8914689550731953,1766.0,0.4799357945425361,299.0,0.5200642054574639,324.0,0.10853104492680464,215.0,0.8552058111380145,0.8914689550731953,0.8729609490855166,0.4333478897651047,0.8244907682372588,0.9200597262898169,0.8026113671274961,0.39107820659683695,0.6089217934031631,0.19738863287250383,0.7944148303985842,0.8026113671274961,0.7975258551787235,0.43334788976510463,0.8244907682372588,0.8344862835579792,0.7153100786735673,0.8026113671274961,0.214,0.002,0.21875,0.0,218.75,0.0,21583.0,2370213.0,265373.0,98.19508448540707,81.50921658986175,'Number of leaves: 63\nSize of the tree: 99\n',99.0,63.0,63.0
