Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureMaxDepth
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7272727272727272,0.10494722570446073,0.2064821321214821,22.846918162210038,43.60574009593831,8.320827058573155,1.7931426605363274,6.527684398036827,0.9245363398414617,0.19923807339292526,0.7252982664485363,6.527684398036826,0.7252982664485362,78.44994676714487,0.6666666666666666,2.0,0.0,0.0,1.0,6.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.8,0.7559289460184544,1.0,1.0,0.8888888888888888,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.9047619047619047,0.8888888888888888,0.882051282051282,0.7559289460184543,1.0,1.0,0.8615384615384616,0.8888888888888888,0.003,0.002,0.0,0.0,0.0,0.0,18431.0,9669.0,3066.0,100.0,66.66666666666667,?,122.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.06002994302561959,0.10753334468254418,13.068465472834001,22.709330980344554,8.320827058573155,0.8670791709649719,7.453747887608182,0.9245363398414617,0.09634213010721909,0.8281942097342425,7.453747887608182,0.8281942097342425,89.57941121884514,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,0.0,0.0,18187.0,9669.0,3066.0,100.0,66.66666666666667,?,118.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.06156354299723705,0.1120929107742393,13.402328829487004,23.67223877242283,8.320827058573155,0.8953805873197824,7.425446471253372,0.9245363398414617,0.09948673192442027,0.8250496079170414,7.425446471253371,0.8250496079170413,89.23928377531594,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,17970.0,9669.0,3066.0,100.0,66.66666666666667,?,115.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,9.0,0.0,0.0,100.0,0.0,0.0,1.0,0.06263732832786242,0.14470331067255016,13.636090945711645,30.559036229326914,8.320827058573155,0.997707172995751,7.323119885577404,0.9245363398414617,0.11085635255508344,0.8136799872863781,7.323119885577403,0.813679987286378,88.00951917432546,1.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,17986.0,9669.0,3066.0,100.0,61.111111111111114,?,115.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,7.0,2.0,0.0,77.77777777777777,22.22222222222222,0.0,0.4,0.15845105401764997,0.33796161536085784,34.494654237470705,71.37211443147343,8.320827058573155,3.731852955791478,4.588974102781677,0.9245363398414617,0.4146503284212753,0.5098860114201863,5.143759148072637,0.571528794230293,61.81788314868165,0.3333333333333333,1.0,0.0,0.0,1.0,6.0,0.6666666666666666,2.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.8333333333333334,0.7777777777777778,0.738095238095238,0.5,1.0,1.0,0.6785714285714286,0.7777777777777778,0.001,0.0,0.0,0.0,0.0,0.0,18428.0,9669.0,3066.0,100.0,61.111111111111114,?,121.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.21182227070722962,0.3541106164863825,46.11352087962699,74.78252645431296,8.320827058573155,5.060565684052144,3.2602613745210105,0.9245363398414617,0.5622850760057938,0.36225126383566786,4.616468723476509,0.5129409692751676,55.480887788913314,1.0,3.0,0.16666666666666666,1.0,0.8333333333333334,5.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.7905694150420948,0.8888888888888888,0.8055555555555556,0.8888888888888888,0.05555555555555555,0.9444444444444444,0.1111111111111111,0.9166666666666666,0.8888888888888888,0.8917748917748918,0.7905694150420949,0.8888888888888888,0.9074074074074076,0.8831168831168831,0.8888888888888888,0.0,0.001,0.0,0.0,0.0,0.0,18171.0,9669.0,3066.0,100.0,77.77777777777777,?,118.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,7.0,2.0,0.0,77.77777777777777,22.22222222222222,0.0,0.5263157894736842,0.2178488041064659,0.3478373186929666,44.90849648898654,69.14146907467092,9.08820706842322,4.376246663533033,4.711960404890187,1.0098007853803577,0.4862496292814481,0.5235511560989097,5.002537830688215,0.5558375367431351,55.044276533590725,0.5,2.0,0.0,0.0,1.0,5.0,0.5,2.0,1.0,0.5,0.6666666666666666,0.5976143046671968,1.0,1.0,0.7777777777777778,0.2777777777777778,0.7222222222222222,0.2222222222222222,0.8412698412698413,0.7777777777777778,0.7592592592592591,0.5976143046671969,1.0,1.0,0.75,0.7777777777777778,0.001,0.0,0.015625,0.0,15.625,0.0,17970.0,9669.0,3066.0,100.0,77.77777777777777,?,115.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.1337607535873539,0.2217217095967659,27.57414417527016,44.072800425418926,9.08820706842322,2.243879507840303,6.844327560582917,1.0098007853803577,0.2493199453155892,0.7604808400647686,6.844327560582916,0.7604808400647685,75.30998698701953,0.75,3.0,0.0,0.0,1.0,5.0,0.25,1.0,1.0,0.75,0.8571428571428571,0.7905694150420948,1.0,1.0,0.8888888888888888,0.1388888888888889,0.8611111111111112,0.1111111111111111,0.9074074074074076,0.8888888888888888,0.886002886002886,0.7905694150420948,1.0,1.0,0.8831168831168831,0.8888888888888888,0.0,0.001,0.0,0.0,0.0,0.0,18061.0,9669.0,3066.0,100.0,77.77777777777777,?,116.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,80.0,9.0,8.0,1.0,0.0,88.88888888888889,11.11111111111111,0.0,0.7692307692307692,0.19066677722836647,0.3096303581943502,39.30505072473029,61.546868852708954,9.08820706842322,3.6099179085571564,5.478289159866064,1.0098007853803577,0.40110198983968404,0.6086987955406737,5.63146720179771,0.6257185779775233,61.96455647851733,0.75,3.0,0.0,0.0,1.0,5.0,0.25,1.0,1.0,0.75,0.8571428571428571,0.7905694150420948,0.95,0.95,0.8888888888888888,0.1388888888888889,0.8611111111111112,0.1111111111111111,0.9074074074074076,0.8888888888888888,0.886002886002886,0.7905694150420948,0.9500000000000001,0.9592592592592593,0.8831168831168831,0.8888888888888888,0.001,0.0,0.0,0.0,0.0,0.0,18238.0,9669.0,3066.0,100.0,72.22222222222223,?,119.0,80.0,?,0.0
10Tit-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last,1,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -I -A \"weka.core.neighboursearch.CoverTree -A \\\"weka.core.EuclideanDistance -R first-last\\\" -B 1.3\"',-3080186098777067172,2.01902091512E7,81.0,8.0,7.0,1.0,0.0,87.5,12.5,0.0,0.75,0.15540091312172755,0.2618899778911431,33.17884447357785,54.09549947435956,7.635527928909312,2.394615483272736,5.240912445636576,0.954440991113664,0.299326935409092,0.655114055704572,5.169137488988955,0.6461421861236194,67.69849494516006,1.0,3.0,0.2,1.0,0.8,4.0,0.0,0.0,0.75,1.0,0.8571428571428571,0.7745966692414834,1.0,1.0,0.875,0.07500000000000001,0.925,0.125,0.90625,0.875,0.876984126984127,0.7745966692414834,1.0,1.0,0.873015873015873,0.875,0.0,0.0,0.0,0.0,0.0,0.0,18452.0,9762.0,2973.0,100.0,68.75,?,121.0,81.0,?,0.0
